location_id,addressLine1,city,state,zipCode,formattedAddress,county,longitude,latitude,addressLine2
125,741 Ne 5th St,Ankeny,IA,50021,"741 Ne 5th St, Apt 108, Ankeny, IA 50021",Polk,-93.587057,41.734657,Apt 108
126,14242 Old Humble Rd,Humble,TX,77396,"14242 Old Humble Rd, Humble, TX 77396",Harris,-95.297043,29.927446,unknown
127,812 Whitney Blvd,Belvidere,IL,61008,"812 Whitney Blvd, Belvidere, IL 61008",Boone,-88.837127,42.252587,unknown
128,400 W 9th St,Cincinnati,OH,45203,"400 W 9th St, Apt 604, Cincinnati, OH 45203",Hamilton,-84.521578,39.10436,Apt 604
129,2255 W 14th St,Los Angeles,CA,90006,"2255 W 14th St, Apt 304, Los Angeles, CA 90006",Los Angeles,-118.288146,34.046342,Apt 304
130,12746 Rambling Rose,San Antonio,TX,78253,"12746 Rambling Rose, San Antonio, TX 78253",Bexar,-98.747054,29.430613,unknown
131,45 W 110th St,New York,NY,10026,"45 W 110th St, Apt 2B, New York, NY 10026",New York County,-73.951447,40.798119,Apt 2B
132,5101 E Hearn Rd,Scottsdale,AZ,85254,"5101 E Hearn Rd, Scottsdale, AZ 85254",Maricopa,-111.970412,33.614964,unknown
133,211 S C St,Duncan,OK,73533,"211 S C St, Duncan, OK 73533",Stephens,-97.942327,34.498033,unknown
134,39 N Main St,Natick,MA,1760,"39 N Main St, Apt 2, Natick, MA 01760",Middlesex,-71.349595,42.287925,Apt 2
135,1437 E 52nd Pl,Tulsa,OK,74105,"1437 E 52nd Pl, Tulsa, OK 74105",Tulsa,-95.971906,36.08776,unknown
136,41 Nostrand Ave,Brooklyn,NY,11206,"41 Nostrand Ave, Apt 3A, Brooklyn, NY 11206",Kings,-73.953228,40.698507,Apt 3A
137,2058 Marazzani Dr,Martinez,CA,94553,"2058 Marazzani Dr, Martinez, CA 94553",Contra Costa,-122.085014,37.993789,unknown
138,PO Box 377,Lacey Spring,VA,22833,"PO Box 377, Lacey Spring, VA 22833",Rockingham,-78.7686,38.5394,unknown
139,209 Glenmary St,Jackson,MS,39203,"209 Glenmary St, Jackson, MS 39203",Hinds,-90.209163,32.30899,unknown
140,1000 Guthrie St,Adair,IA,50002,"1000 Guthrie St, Adair, IA 50002",Adair,-94.651528,41.502252,unknown
141,950 W Norton Ave,Muskegon,MI,49441,"950 W Norton Ave, Ste 301, Muskegon, MI 49441",Muskegon,-86.266946,43.190832,Ste 301
142,1781 Spyglass Dr,Austin,TX,78746,"1781 Spyglass Dr, Apt 395, Austin, TX 78746",Travis,-97.792232,30.257997,Apt 395
143,1612 Progress Ln,Belleville,IL,62221,"1612 Progress Ln, Belleville, IL 62221",Saint Clair,-89.92908,38.524003,unknown
144,1231 S Meadowhaven Ln,Derby,KS,67037,"1231 S Meadowhaven Ln, Derby, KS 67037",Sedgwick County,-97.259688,37.530452,unknown
145,4755 W Tilghman St,Allentown,PA,18104,"4755 W Tilghman St, Allentown, PA 18104",Lehigh,-75.562849,40.589734,unknown
146,1108 Kearsarge Ct,Virginia Beach,VA,23454,"1108 Kearsarge Ct, Virginia Beach, VA 23454",Virginia Beach City,-76.031551,36.866572,unknown
147,6516 Elmwood St,Louisville,KY,40216,"6516 Elmwood St, Louisville, KY 40216",Jefferson,-85.87445,38.1911,unknown
148,5220 Kim Ct,West Palm Beach,FL,33415,"5220 Kim Ct, West Palm Beach, FL 33415",Palm Beach,-80.12361,26.655712,unknown
149,3253 Washington Rd,Atlanta,GA,30344,"3253 Washington Rd, Apt 3, Atlanta, GA 30344",Fulton,-84.465014,33.667592,Apt 3
150,2015 Eastwood Village Dr,Stockbridge,GA,30281,"2015 Eastwood Village Dr, Stockbridge, GA 30281",Henry,-84.256161,33.546415,unknown
151,4422 E Woodridge Dr,Phoenix,AZ,85032,"4422 E Woodridge Dr, Phoenix, AZ 85032",Maricopa,-111.985383,33.641833,unknown
152,4720 Thor Way,Carmichael,CA,95608,"4720 Thor Way, Carmichael, CA 95608",Sacramento,-121.353136,38.59856,unknown
153,5416 Riverview Dr,Lisle,IL,60532,"5416 Riverview Dr, Lisle, IL 60532",Dupage,-88.076849,41.786968,unknown
154,416 Jimson Way,Prescott,AZ,86301,"416 Jimson Way, Prescott, AZ 86301",Yavapai,-112.466506,34.58584,unknown
155,1616 11th St,Waukegan,IL,60085,"1616 11th St, Waukegan, IL 60085",Lake,-87.851829,42.339797,unknown
156,5465 Ripken Rd,Cumming,GA,30028,"5465 Ripken Rd, Cumming, GA 30028",Forsyth,-84.091841,34.293432,unknown
157,712 Waukee Pass St,San Antonio,TX,78260,"712 Waukee Pass St, San Antonio, TX 78260",Bexar,-98.480783,29.708719,unknown
158,104 Founders Ct,Bethlehem,PA,18020,"104 Founders Ct, Bethlehem, PA 18020",Northampton,-75.309795,40.670024,unknown
159,1110 Ohio Ave,Long Beach,CA,90804,"1110 Ohio Ave, Apt 2, Long Beach, CA 90804",Los Angeles,-118.159876,33.781256,Apt 2
160,7020 Remington Ct,Woodridge,IL,60517,"7020 Remington Ct, Apt 102, Woodridge, IL 60517",Dupage,-88.033762,41.759354,Apt 102
161,9237 Club View Trce,Riverdale,GA,30274,"9237 Club View Trce, Riverdale, GA 30274",Clayton,-84.394715,33.503863,unknown
162,625 Celebration Ave,Celebration,FL,34747,"625 Celebration Ave, Unit 625, Celebration, FL 34747",Osceola County,-81.539546,28.319447,Unit 625
163,2517 Brookwood Ln,Garland,TX,75044,"2517 Brookwood Ln, Garland, TX 75044",Dallas,-96.666147,32.967697,unknown
